time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.point_id,.x,.y,.z,.range,.velocity,.doppler_bin,.bearing,.intensity
2021/11/15/11:33:01.641787,54385,1636972381,641424080,ti_mmwave,0,0.093761831522,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642114,54386,1636972381,641505080,ti_mmwave,1,1.0782610178,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642131,54387,1636972381,641512967,ti_mmwave,2,1.21890377998,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642142,54388,1636972381,641517400,ti_mmwave,3,1.78147482872,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642149,54389,1636972381,641522138,ti_mmwave,4,1.31266570091,-0.0,0.0,0.0,0.456457048655,0,0.0,0.0
2021/11/15/11:33:01.642157,54390,1636972381,641547372,ti_mmwave,5,1.45330834389,-0.0,0.0,0.0,0.684685587883,0,0.0,0.0
2021/11/15/11:33:01.642174,54391,1636972381,641555977,ti_mmwave,6,0.98449921608,-0.0,0.0,0.0,0.912914097309,0,0.0,0.0
2021/11/15/11:33:01.642543,54392,1636972381,642370790,ti_mmwave,0,0.093761831522,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642638,54393,1636972381,642400527,ti_mmwave,1,1.0782610178,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642739,54394,1636972381,642405475,ti_mmwave,2,1.26578474045,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642758,54395,1636972381,642409097,ti_mmwave,3,1.73459386826,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.642775,54396,1636972381,642413345,ti_mmwave,4,1.31266570091,-0.0,0.0,0.0,0.456457048655,0,0.0,0.0
2021/11/15/11:33:01.642785,54397,1636972381,642418012,ti_mmwave,5,1.54707026482,-0.0,0.0,0.0,0.456457048655,0,0.0,0.0
2021/11/15/11:33:01.642796,54398,1636972381,642421874,ti_mmwave,6,0.98449921608,-0.0,0.0,0.0,0.912914097309,0,0.0,0.0
2021/11/15/11:33:01.642923,54399,1636972381,642432656,ti_mmwave,7,2.25028395653,-0.0,0.0,0.0,1.82582819462,0,0.0,0.0
2021/11/15/11:33:01.701495,54400,1636972381,701169153,ti_mmwave,0,0.093761831522,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.701691,54401,1636972381,701228932,ti_mmwave,1,1.0782610178,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.701709,54402,1636972381,701260663,ti_mmwave,2,1.26578474045,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.701726,54403,1636972381,701271416,ti_mmwave,3,1.73459386826,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/15/11:33:01.701746,54404,1636972381,701333499,ti_mmwave,4,1.35954654217,-0.0,0.0,0.0,0.684685587883,0,0.0,0.0
