time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:20:04.879350,4212,1646846404,875325899,imu_iphone,0.00349095646768,0.0205837306676,-0.918127009714,0.395735918624,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00197816779837,-0.00278559653088,0.00168046774343,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00224803514779,-0.0051232207194,-0.109142373204,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:04.923992,4213,1646846404,918608321,imu_iphone,0.00347780774403,0.0205734132602,-0.918124073938,0.395743381973,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.000895324163139,-0.000194733031094,-0.000246511306614,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0069738644734,0.00264581026509,-0.120808153152,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:04.935687,4214,1646846404,934494137,imu_iphone,0.00348836512601,0.0205564564572,-0.918125036187,0.3957419378,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",3.77846881747e-05,0.00103802327067,-0.000240405555815,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00586391676217,-0.00313405277207,-0.121694006324,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:04.968417,4215,1646846404,964787868,imu_iphone,0.00350356964933,0.0205402321719,-0.918126884191,0.395738358499,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00143261812627,0.000891022384167,-0.000296275597066,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00238135166466,-0.00298745211214,-0.114048771858,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:04.996332,4216,1646846404,993886577,imu_iphone,0.00350980702713,0.0205289717846,-0.91812447367,0.395744479963,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00108693540096,0.00339432898909,0.000579657498747,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00937001690269,-0.00535524554551,-0.117483426332,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:05.024511,4217,1646846405,23781444,imu_iphone,0.00350008307026,0.0205263699835,-0.918126904345,0.395739061848,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.000921817496419,0.00170636642724,0.00133676826954,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00230460695922,-0.00525322990492,-0.121222136021,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:05.053684,4218,1646846405,53379462,imu_iphone,0.00349726119632,0.0205310983665,-0.918122896898,0.39574813879,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00142899993807,-0.00275101047009,-0.000631507951766,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00205010689795,-0.00241990674287,-0.119279690981,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:05.233945,4219,1646846405,232162104,imu_iphone,0.00370539046901,0.020429391574,-0.918397988144,0.395112699636,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0152303352952,0.0164354387671,-0.0734959095716,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.323674047701,-0.301617308725,-0.132249984741,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:05.263581,4220,1646846405,262049515,imu_iphone,0.00417803377852,0.0202446629488,-0.918942746125,0.393848863143,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0231402497739,0.0207553133368,-0.104123234749,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.257275624909,-0.288104448169,-0.137265141606,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:20:05.292845,4221,1646846405,291187158,imu_iphone,0.00470328887518,0.0200378238499,-0.919478417829,0.392601329386,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0106767499819,0.0272695831954,-0.0391596443951,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.123476054929,-0.148947531302,-0.122823103666,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
