time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:25:45.038592,15471,1646846745,38097350,imu_iphone,0.00282721869534,0.0210016566253,-0.905546255197,0.423717968645,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00262207351625,-0.00247259624302,0.000171695835888,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00124209478498,0.00118888512254,-0.118233039379,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.072413,15472,1646846745,67424789,imu_iphone,0.00282208575533,0.0210070814793,-0.905547227988,0.423715654943,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00122530246153,0.000246270559728,-0.00099341198802,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.00443599015474,-0.00289970733225,-0.121530284286,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.107251,15473,1646846745,105867841,imu_iphone,0.00283080315185,0.021005713095,-0.905545628114,0.423719083798,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00057518016547,0.00111429113895,-0.00130707258359,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.00478740781546,0.00472955692559,-0.113446508646,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.127475,15474,1646846745,127113858,imu_iphone,0.00285043141878,0.0210121332411,-0.905550844892,0.423707484727,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00105433119461,0.00241892412305,-0.00121120177209,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0107286540046,0.00482780842111,-0.108664070964,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.158902,15475,1646846745,158677241,imu_iphone,0.00284748572934,0.0210024756004,-0.905556643254,0.423695590845,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00137948617339,-0.000377862714231,-0.000851492397487,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-4.32693958282e-05,0.00723530810326,-0.125870087743,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.187986,15476,1646846745,187627875,imu_iphone,0.00284561351225,0.0210115889635,-0.905561779558,0.423684173669,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000479067675769,0.000328374095261,0.000338841229677,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.000885378085077,-0.0024563787505,-0.117644224763,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.216464,15477,1646846745,216216272,imu_iphone,0.00284185281034,0.0210319688265,-0.905569041828,0.423667665326,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00119465682656,-0.00149630475789,-0.000552676618099,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.000384564064443,0.00736959306523,-0.113319624066,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.252016,15478,1646846745,251604820,imu_iphone,0.00285585704473,0.0210357536245,-0.905570344353,0.423664599157,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00400259112939,-0.000309394672513,0.000661223661155,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0130596465245,0.01034308495,-0.117964652181,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.279800,15479,1646846745,279010177,imu_iphone,0.00285227789229,0.0210175404599,-0.90556357997,0.423679985527,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000829061493278,0.000450917519629,0.0018017096445,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.00767267983407,0.0137265580148,-0.116602250934,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:25:45.306847,15480,1646846745,305676719,imu_iphone,0.00285556034685,0.0210036835588,-0.905558182396,0.423692187028,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",8.67825001478e-05,-0.000424251891673,0.000732337590307,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00727316882461,0.0088843873702,-0.126171219349,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
