time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.point_id,.x,.y,.z,.range,.velocity,.doppler_bin,.bearing,.intensity
2021/11/15/11:40:33.984140,33974,1636972833,983683243,ti_mmwave,0,0.87023806572,0.606521844864,0.193555414677,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:33.984345,33975,1636972833,983828107,ti_mmwave,1,1.69399166107,-0.278355449438,0.475986272097,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:33.984362,33976,1636972833,983838454,ti_mmwave,2,0.830620706081,-0.0,-0.148872166872,0.0,0.114556573331,0,0.0,0.0
2021/11/15/11:40:34.044991,33977,1636972834,43601111,ti_mmwave,0,0.871949374676,0.606521844864,0.185693994164,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.045029,33978,1636972834,43737959,ti_mmwave,1,1.69630801678,-0.278355449438,0.467664629221,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.045224,33979,1636972834,43764404,ti_mmwave,2,0.830347299576,-0.0,-0.15038973093,0.0,0.114556573331,0,0.0,0.0
2021/11/15/11:40:34.047690,33980,1636972834,46264369,ti_mmwave,0,0.871192395687,0.606521844864,0.189213767648,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.047749,33981,1636972834,46386327,ti_mmwave,1,1.69568157196,-0.278355449438,0.469930708408,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.047780,33982,1636972834,46413736,ti_mmwave,2,0.875956654549,-0.0,-0.161595404148,0.0,0.229113146663,0,0.0,0.0
2021/11/15/11:40:34.104444,33983,1636972834,103606760,ti_mmwave,0,0.874080181122,0.606521844864,0.175390452147,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.104474,33984,1636972834,103677977,ti_mmwave,1,1.69227433205,-0.278355449438,0.482056409121,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.104574,33985,1636972834,103690460,ti_mmwave,2,0.876276195049,-0.0,-0.15985353291,0.0,0.229113146663,0,0.0,0.0
2021/11/15/11:40:34.105599,33986,1636972834,105055185,ti_mmwave,0,0.0251336973161,0.0146502861753,-0.0367625690997,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.105725,33987,1636972834,105099326,ti_mmwave,1,0.87410902977,0.606521844864,0.175246492028,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.105753,33988,1636972834,105110872,ti_mmwave,2,1.69178164005,-0.278355449438,0.483783006668,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.105915,33989,1636972834,105118972,ti_mmwave,3,0.880150854588,-0.0,-0.136921986938,0.0,0.343669712543,0,0.0,0.0
2021/11/15/11:40:34.105993,33990,1636972834,105128914,ti_mmwave,4,2.24411678314,-0.0,0.82490593195,0.0,0.343669712543,0,0.0,0.0
2021/11/15/11:40:34.164241,33991,1636972834,163428362,ti_mmwave,0,0.874016284943,0.606521844864,0.175708457828,0.0,0.0,0,0.0,0.0
2021/11/15/11:40:34.164260,33992,1636972834,163502899,ti_mmwave,1,1.69339203835,-0.278355449438,0.478115439415,0.0,0.0,0,0.0,0.0
