time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/11/08/17:20:16.249436,56766,1636388416,248286008,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.09314802353583371, -0.12939456285101175, -0.23314353552543784)","(0.0,)",()
2021/11/08/17:20:16.252861,56767,1636388416,252244949,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.08615716079042751, -0.11940876542105441, -0.24867709870164612)","(0.0,)",()
2021/11/08/17:20:16.277768,56768,1636388416,276555061,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.07847906510103889, -0.1072429673810162, -0.2653702832869636)","(0.0,)",()
2021/11/08/17:20:16.310594,56769,1636388416,307276010,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.07028643572280838, -0.09305253168568257, -0.2831836706287311)","(0.0,)",()
2021/11/08/17:20:16.355926,56770,1636388416,354911088,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.061796329876339574, -0.07714283946408858, -0.3026171530026647)","(0.0,)",()
2021/11/08/17:20:16.368707,56771,1636388416,366202116,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.053291285836506753, -0.059925018212959896, -0.32440067579325726)","(0.0,)",()
2021/11/08/17:20:16.396424,56772,1636388416,395476102,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.04510624020526107, -0.04169977913514541, -0.3489640241036284)","(0.0,)",()
2021/11/08/17:20:16.455884,56773,1636388416,455033063,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.037517665673537426, -0.02281564021263366, -0.3767160621537631)","(0.0,)",()
2021/11/08/17:20:16.460696,56774,1636388416,459912061,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.03095262592126153, -0.003581947804303897, -0.4079784033462261)","(0.0,)",()
2021/11/08/17:20:16.487341,56775,1636388416,485608100,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.025684868662805064, 0.015778460563013384, -0.4429625371918667)","(0.0,)",()
2021/11/08/17:20:16.517019,56776,1636388416,515891075,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.0219863121741728, 0.035037597870269076, -0.4816059145766476)","(0.0,)",()
2021/11/08/17:20:16.561563,56777,1636388416,560199022,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.020025855815173688, 0.05405258210296671, -0.5235303723736846)","(0.0,)",()
2021/11/08/17:20:16.574412,56778,1636388416,573810100,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.019937584604595066, 0.07276176873482965, -0.568159963579125)","(0.0,)",()
2021/11/08/17:20:16.603548,56779,1636388416,603219032,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.021641675452708807, 0.09105556402484628, -0.6148054263157049)","(0.0,)",()
2021/11/08/17:20:16.667780,56780,1636388416,666357040,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.025106837226185383, 0.10898500107474661, -0.6625133973343313)","(0.0,)",()
2021/11/08/17:20:16.671648,56781,1636388416,670706987,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.030256694672160522, 0.12654161689511392, -0.7104149393141073)","(0.0,)",()
2021/11/08/17:20:16.694411,56782,1636388416,693571090,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.036899399117548734, 0.14374433733825903, -0.7575206030049704)","(0.0,)",()
2021/11/08/17:20:16.724497,56783,1636388416,723577976,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.044823838882348976, 0.16057257190233312, -0.8030157792415298)","(0.0,)",()
2021/11/08/17:20:16.774640,56784,1636388416,774198055,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.05382164877502193, 0.17699033370674408, -0.8462804665418375)","(0.0,)",()
2021/11/08/17:20:16.785571,56785,1636388416,783900022,,"['base_to_pipe_x', 'base_to_pipe_y', 'base_to_pipe_z']","(-0.06372451201411129, 0.192909949530024, -0.8870069070002473)","(0.0,)",()
