time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.point_id,.x,.y,.z,.range,.velocity,.doppler_bin,.bearing,.intensity
2021/11/02/17:39:07.431518,247872,1635871147,427822649,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.431750,247873,1635871147,428045463,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.432640,247874,1635871147,430074843,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.432924,247875,1635871147,430125681,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.487361,247876,1635871147,487013050,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.487846,247877,1635871147,487067275,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.488142,247878,1635871147,487822770,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.488231,247879,1635871147,487859002,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.547571,247880,1635871147,547198464,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.547606,247881,1635871147,547247045,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.608517,247882,1635871147,607653962,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.608549,247883,1635871147,607777674,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.610852,247884,1635871147,609947143,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.610888,247885,1635871147,610034517,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.668413,247886,1635871147,667325323,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.668779,247887,1635871147,667453922,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.674366,247888,1635871147,673542698,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.674406,247889,1635871147,673654452,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.674437,247890,1635871147,673681757,ti_mmwave,2,0.98449921608,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.674482,247891,1635871147,673702053,ti_mmwave,3,0.768524467945,-0.615311980247,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.729058,247892,1635871147,727289719,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.729105,247893,1635871147,727396326,ti_mmwave,1,0.771401226521,-0.44536870718,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.729181,247894,1635871147,727424431,ti_mmwave,2,1.03138017654,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.734548,247895,1635871147,727440112,ti_mmwave,3,0.717086195946,-0.741304516792,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.736033,247896,1635871147,730126101,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.736260,247897,1635871147,730219599,ti_mmwave,1,0.754646241665,-0.473204255104,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.736423,247898,1635871147,730245781,ti_mmwave,2,0.695331692696,0.556710898876,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.736612,247899,1635871147,730263231,ti_mmwave,3,1.03138017654,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.736819,247900,1635871147,730278591,ti_mmwave,4,0.682193815708,-0.773535132408,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.787901,247901,1635871147,787152987,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.788014,247902,1635871147,787229238,ti_mmwave,1,1.03138017654,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.788359,247903,1635871147,787243436,ti_mmwave,2,0.717086195946,-0.741304516792,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.789660,247904,1635871147,788334451,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.789679,247905,1635871147,788378717,ti_mmwave,1,0.98449921608,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.789695,247906,1635871147,788391399,ti_mmwave,2,0.742847502232,-0.646077632904,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.847580,247907,1635871147,847061899,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.847609,247908,1635871147,847121832,ti_mmwave,1,1.03087639809,-0.032230630517,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.847671,247909,1635871147,847130310,ti_mmwave,2,0.778221189976,-0.676843225956,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.907802,247910,1635871147,907152938,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.907896,247911,1635871147,907212645,ti_mmwave,1,0.586706876755,0.606521844864,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.907980,247912,1635871147,907220738,ti_mmwave,2,0.98449921608,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.908112,247913,1635871147,907228249,ti_mmwave,3,0.614542424679,-0.769140005112,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.909103,247914,1635871147,908541984,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.909180,247915,1635871147,908599716,ti_mmwave,1,0.586706876755,0.606521844864,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.909242,247916,1635871147,908614643,ti_mmwave,2,0.98449921608,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.909334,247917,1635871147,908625937,ti_mmwave,3,0.651185035706,-0.73837441206,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.967731,247918,1635871147,967234540,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.967788,247919,1635871147,967355667,ti_mmwave,1,0.586706876755,0.606521844864,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.967819,247920,1635871147,967373137,ti_mmwave,2,1.03087639809,-0.032230630517,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.967844,247921,1635871147,967384330,ti_mmwave,3,0.748972117901,-0.709073901176,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.969646,247922,1635871147,968644008,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.969804,247923,1635871147,968730735,ti_mmwave,1,0.586706876755,0.606521844864,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.969826,247924,1635871147,968748323,ti_mmwave,2,0.98449921608,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:07.969985,247925,1635871147,968760892,ti_mmwave,3,0.614542424679,-0.769140005112,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:08.027874,247926,1635871148,27071390,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:08.027921,247927,1635871148,27144751,ti_mmwave,1,0.586706876755,0.606521844864,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:08.027943,247928,1635871148,27159099,ti_mmwave,2,0.98449921608,-0.0,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:08.027964,247929,1635871148,27168706,ti_mmwave,3,0.742847502232,-0.646077632904,0.0,0.0,0.0,0,0.0,0.0
2021/11/02/17:39:08.029103,247930,1635871148,28504854,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
