time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2021/11/08/17:20:16.247675,59827,1636388416,246376090,imu_iphone,-0.0386330542268,0.0695473841634,-0.112949148757,0.990410590751,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.342468857765,0.154432669282,-0.464764922857,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.854088683948,2.12054494277,-0.0870591938496,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.251707,59828,1636388416,250000108,imu_iphone,-0.0352634705028,0.0644847084799,-0.121132772127,0.989911643298,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.416765093803,0.180902451277,-0.503863751888,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.754169927984,1.96166995391,-0.157326353788,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.275692,59829,1636388416,274861277,imu_iphone,-0.0317436981954,0.0582662508735,-0.12992026381,0.9893018279,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.486848324537,0.205911502242,-0.539862394333,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.63369338505,1.76854475319,-0.246396405101,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.306267,59830,1636388416,304906445,imu_iphone,-0.0281873948662,0.0509686092977,-0.139261641764,0.988541282279,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.550280451775,0.224021315575,-0.581905186176,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.502593035996,1.52989356995,-0.332553958297,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.353642,59831,1636388416,352935706,imu_iphone,-0.0247078411342,0.0427562132601,-0.149370192242,0.987547454295,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.599772274494,0.235161498189,-0.644226610661,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.355251606926,1.24415651321,-0.420869134068,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.364706,59832,1636388416,364091267,imu_iphone,-0.0214447825318,0.0338548785229,-0.16057259007,0.986210125592,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.637935757637,0.233054056764,-0.741455316544,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.173725345172,0.975356866792,-0.485216572881,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.394306,59833,1636388416,393695194,imu_iphone,-0.0185856596814,0.0244406026714,-0.17305315023,0.984433764857,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.66373449564,0.228664696217,-0.843989551067,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0635442871973,0.641573312134,-0.552287060022,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.454170,59834,1636388416,453576925,imu_iphone,-0.0162891168665,0.014715921511,-0.186990899035,0.982116342397,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.677935123444,0.216667234898,-0.961775541306,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0981151092052,0.366306352839,-0.585008078814,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.459030,59835,1636388416,458528020,imu_iphone,-0.0147920344234,0.00488865074192,-0.202525696328,0.979153021309,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.682541072369,0.195208668709,-1.0907484293,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.190827354603,0.0778007674031,-0.624024209976,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.484102,59836,1636388416,483421551,imu_iphone,-0.0142609048609,-0.00487481073497,-0.219748836986,0.975440060412,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.681298017502,0.171634286642,-1.22047662735,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.26646289805,-0.196393136457,-0.642728868127,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.514657,59837,1636388416,513786174,imu_iphone,-0.0148515757927,-0.0143902070905,-0.23861850635,0.970893176958,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.674263119698,0.144830852747,-1.34084379673,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.297148263529,-0.418192936555,-0.66417645514,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.559349,59838,1636388416,558716100,imu_iphone,-0.0166609647325,-0.0235109292616,-0.258939892881,0.965463505439,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.662273287773,0.115462079644,-1.43990051746,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.292131425589,-0.625797962844,-0.658007057905,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.573104,59839,1636388416,572709703,imu_iphone,-0.0197566275881,-0.0321211948834,-0.280423103334,0.95913543758,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.649935424328,0.0854013562202,-1.51998317242,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.264936573766,-0.803275502846,-0.674855809808,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.602815,59840,1636388416,602542442,imu_iphone,-0.0240731170973,-0.0401052756404,-0.302722272983,0.951930290168,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.643181920052,0.0569552630186,-1.57051181793,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.206223164778,-0.963721711636,-0.678655330539,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.665574,59841,1636388416,664627065,imu_iphone,-0.0295655332325,-0.047423822775,-0.325369857451,0.94393395751,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.634075820446,0.0278074666858,-1.58446764946,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.141985087171,-1.10355129585,-0.685178484321,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.671253,59842,1636388416,668499515,imu_iphone,-0.0361424657855,-0.0540240500251,-0.34794607707,0.935258601477,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.632388949394,0.0035118162632,-1.56891548634,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0642547238991,-1.25333079457,-0.704698829055,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.692445,59843,1636388416,691876139,imu_iphone,-0.0436455293106,-0.05990518012,-0.369982428318,0.926077448112,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.628472447395,-0.0219080299139,-1.52006494999,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0129858254269,-1.40468173251,-0.690671358705,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.722660,59844,1636388416,722099293,imu_iphone,-0.0518962419195,-0.0650736461278,-0.39110440941,0.916574896882,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.622582614422,-0.0465305782855,-1.44590222836,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0845459143817,-1.58088055953,-0.687675830126,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.773726,59845,1636388416,773360729,imu_iphone,-0.0607162712028,-0.0695500814256,-0.41103916395,0.906930607204,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.619111716747,-0.0705212727189,-1.35780024529,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.183888573423,-1.77602261111,-0.694587823749,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.782429,59846,1636388416,781567324,imu_iphone,-0.0699454286105,-0.0733376954523,-0.429666427096,0.89728255353,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.604362845421,-0.0921669900417,-1.2597386837,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.278122373968,-2.00661881626,-0.685605915785,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2021/11/08/17:20:16.812161,59847,1636388416,811261105,imu_iphone,-0.0793492684157,-0.0763800088221,-0.446882831725,0.887786867758,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.579549193382,-0.106873109937,-1.1638674736,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.395705933869,-2.26803452566,-0.663110507727,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
