time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.point_id,.x,.y,.z,.range,.velocity,.doppler_bin,.bearing,.intensity
2021/11/08/17:20:16.245513,281975,1636388416,244869589,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.246327,281976,1636388416,245000737,ti_mmwave,1,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.246433,281977,1636388416,245020178,ti_mmwave,2,2.28704762459,-0.215359210968,0.0,0.0,0.260401695967,0,0.0,0.0
2021/11/08/17:20:16.246458,281978,1636388416,245039283,ti_mmwave,3,1.12514197826,-0.0,0.0,0.0,-0.130200847983,0,0.0,0.0
2021/11/08/17:20:16.249770,281979,1636388416,248471728,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.249863,281980,1636388416,248543116,ti_mmwave,1,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.249929,281981,1636388416,248560126,ti_mmwave,2,1.12514197826,-0.0,0.0,0.0,-0.130200847983,0,0.0,0.0
2021/11/08/17:20:16.308748,281982,1636388416,304981802,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.308785,281983,1636388416,305161001,ti_mmwave,1,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.308822,281984,1636388416,305215849,ti_mmwave,2,1.31009936333,-0.082041606307,0.0,0.0,-0.390602529049,0,0.0,0.0
2021/11/08/17:20:16.308858,281985,1636388416,305232951,ti_mmwave,3,1.12514197826,-0.0,0.0,0.0,-0.130200847983,0,0.0,0.0
2021/11/08/17:20:16.309772,281986,1636388416,307536380,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.309830,281987,1636388416,307690144,ti_mmwave,1,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.310679,281988,1636388416,307718273,ti_mmwave,2,1.31202459335,-0.0410208031535,0.0,0.0,-0.390602529049,0,0.0,0.0
2021/11/08/17:20:16.310707,281989,1636388416,307734622,ti_mmwave,3,1.12514197826,-0.0,0.0,0.0,-0.130200847983,0,0.0,0.0
2021/11/08/17:20:16.366621,281990,1636388416,364954049,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.366957,281991,1636388416,365099164,ti_mmwave,1,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.368583,281992,1636388416,365123526,ti_mmwave,2,1.31202459335,-0.0410208031535,0.0,0.0,-0.520803391933,0,0.0,0.0
2021/11/08/17:20:16.368633,281993,1636388416,365138282,ti_mmwave,3,1.12514197826,-0.0,0.0,0.0,-0.260401695967,0,0.0,0.0
2021/11/08/17:20:16.368728,281994,1636388416,367437930,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.368746,281995,1636388416,367526046,ti_mmwave,1,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.368764,281996,1636388416,367546075,ti_mmwave,2,2.33946323395,-0.146502867341,0.0,0.0,0.520803391933,0,0.0,0.0
2021/11/08/17:20:16.368781,281997,1636388416,367560300,ti_mmwave,3,1.31202459335,-0.0410208031535,0.0,0.0,-0.520803391933,0,0.0,0.0
2021/11/08/17:20:16.370440,281998,1636388416,367572928,ti_mmwave,4,1.12514197826,-0.0,0.0,0.0,-0.260401695967,0,0.0,0.0
2021/11/08/17:20:16.426077,281999,1636388416,425170404,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.426219,282000,1636388416,425295155,ti_mmwave,1,0.913519024849,0.572826147079,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.426324,282001,1636388416,425322406,ti_mmwave,2,0.522010803223,0.943478405476,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.426350,282002,1636388416,425343125,ti_mmwave,3,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.426382,282003,1636388416,425360997,ti_mmwave,4,2.33946323395,-0.146502867341,0.0,0.0,0.520803391933,0,0.0,0.0
2021/11/08/17:20:16.426590,282004,1636388416,425418972,ti_mmwave,5,1.26516652107,-0.039555773139,0.0,0.0,-0.651004254818,0,0.0,0.0
2021/11/08/17:20:16.426857,282005,1636388416,425453744,ti_mmwave,6,1.0782610178,-0.0,0.0,0.0,-0.260401695967,0,0.0,0.0
2021/11/08/17:20:16.427043,282006,1636388416,425484509,ti_mmwave,7,0.383734077215,1.49872434139,0.0,0.0,-0.260401695967,0,0.0,0.0
2021/11/08/17:20:16.427211,282007,1636388416,425518585,ti_mmwave,8,1.54025661945,-0.145037829876,0.0,0.0,-0.260401695967,0,0.0,0.0
2021/11/08/17:20:16.488259,282008,1636388416,485997200,ti_mmwave,0,0.0396370775998,0.0849716588855,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.488312,282009,1636388416,486092839,ti_mmwave,1,0.891503214836,0.606521844864,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.488447,282010,1636388416,486113385,ti_mmwave,2,0.522010803223,0.943478405476,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.488475,282011,1636388416,486126445,ti_mmwave,3,1.75959396362,-0.278355449438,0.0,0.0,0.0,0,0.0,0.0
2021/11/08/17:20:16.488489,282012,1636388416,486138711,ti_mmwave,4,2.33372211456,-0.219754308462,0.0,0.0,0.520803391933,0,0.0,0.0
2021/11/08/17:20:16.488503,282013,1636388416,486150783,ti_mmwave,5,2.24942731857,0.659262895584,0.0,0.0,0.520803391933,0,0.0,0.0
2021/11/08/17:20:16.488527,282014,1636388416,486162111,ti_mmwave,6,1.26578474045,-0.0,0.0,0.0,-0.651004254818,0,0.0,0.0
2021/11/08/17:20:16.488805,282015,1636388416,486174640,ti_mmwave,7,1.0782610178,-0.0,0.0,0.0,-0.390602529049,0,0.0,0.0
