time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/01/11/19:05:31.876945,13196,1641924331,876524368,imu_iphone,-0.0106648854017,0.0817270636267,-0.48849560089,0.868665065029,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.178494140506,-0.138211548328,-1.09526085854,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0643505086005,4.01635770679,-0.778587754369,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:31.906967,13197,1641924331,906261331,imu_iphone,-0.00724863777319,0.0848416450785,-0.50056934452,0.861498510641,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.130596503615,-0.0604962222278,-0.822743058205,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.127088062763,4.04138408214,-0.415589098334,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:31.936670,13198,1641924331,936046749,imu_iphone,-0.00397154070842,0.0866225697512,-0.509165276239,0.856289366246,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.109567955136,0.024928227067,-0.576728343964,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0355815497786,4.17258536875,-0.0894477814436,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:31.966496,13199,1641924331,966152059,imu_iphone,-0.000553906607387,0.0877399844665,-0.51506998818,0.852645468873,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.129061147571,0.0861519128084,-0.365196287632,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.411544871628,4.45372505218,0.0422016942501,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:31.996107,13200,1641924331,995716108,imu_iphone,0.0030306338373,0.0878191368924,-0.518103285207,0.850792336773,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0629983469844,0.205267772079,-0.0969958081841,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.917551731393,5.57155802608,0.241739097834,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:32.025959,13201,1641924332,25554967,imu_iphone,0.00594479356197,0.0867609382685,-0.517340159272,0.851349727565,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0244432352483,0.230561062694,0.240565478802,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0995751589537,6.83188267529,0.167012266517,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:32.056867,13202,1641924332,55288855,imu_iphone,0.00723617500183,0.0848106019045,-0.51259613819,0.854400373764,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.0696377381682,0.221845209599,0.56720238924,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.688447881863,7.79128914177,0.277277305126,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:32.086372,13203,1641924332,85366900,imu_iphone,0.00576230611969,0.0821740549781,-0.502340501661,0.86073703354,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.154511451721,0.156515479088,1.10519087315,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-1.3638931641,7.29779817402,-0.00320719778538,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:32.115031,13204,1641924332,114722367,imu_iphone,0.00103609122908,0.0789304270098,-0.485032228343,0.870926318167,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.247431874275,0.0953592509031,1.59717166424,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.286555447653,7.17459441662,-0.219251875877,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/01/11/19:05:32.145423,13205,1641924332,145082711,imu_iphone,-0.00623882266565,0.074202625776,-0.462568921817,0.883450643776,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.383183628321,0.036398075521,1.87679576874,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.438689839393,7.58429069102,-0.224949987531,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
