time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.point_id,.x,.y,.z,.range,.velocity,.doppler_bin,.bearing,.intensity
2022/01/11/19:04:49.716408,56071,1641924289,715686561,ti_mmwave,0,0.093761831522,-0.0,0.0,0.093761831522,0.0,16,-0.0,17.2000007629
2022/01/11/19:04:49.716470,56072,1641924289,715772990,ti_mmwave,1,0.843856453896,-0.0,0.0,0.843856453896,0.0,16,-0.0,17.2000007629
2022/01/11/19:04:49.716488,56073,1641924289,715786188,ti_mmwave,2,1.0782610178,-0.0,0.0,1.0782610178,0.0,16,-0.0,17.2000007629
2022/01/11/19:04:49.716573,56074,1641924289,715796571,ti_mmwave,3,0.98449921608,-0.0,0.0,0.98449921608,-1.14114260674,16,-0.0,17.2000007629
2022/01/11/19:04:49.716714,56075,1641924289,715805561,ti_mmwave,4,1.03138017654,-0.0,0.0,1.03138017654,-0.912914097309,16,-0.0,17.2000007629
2022/01/11/19:04:49.716741,56076,1641924289,715813668,ti_mmwave,5,0.93761831522,-0.0,0.0,0.93761831522,-0.684685587883,16,-0.0,17.2000007629
2022/01/11/19:04:49.716755,56077,1641924289,715822251,ti_mmwave,6,1.59395110607,-0.0,0.0,1.59395110607,-0.456457048655,16,-0.0,17.2000007629
2022/01/11/19:04:49.717831,56078,1641924289,717374620,ti_mmwave,0,0.093761831522,-0.0,0.0,0.093761831522,0.0,16,-0.0,15.8999996185
2022/01/11/19:04:49.717872,56079,1641924289,717430662,ti_mmwave,1,0.843856453896,-0.0,0.0,0.843856453896,0.0,16,-0.0,15.8999996185
2022/01/11/19:04:49.718196,56080,1641924289,717440732,ti_mmwave,2,1.0782610178,-0.0,0.0,1.0782610178,0.0,16,-0.0,15.8999996185
2022/01/11/19:04:49.718225,56081,1641924289,717447679,ti_mmwave,3,1.87523663044,-0.0,0.0,1.87523663044,0.0,16,-0.0,15.8999996185
2022/01/11/19:04:49.718366,56082,1641924289,717457964,ti_mmwave,4,0.89073741436,-0.0,0.0,0.89073741436,-0.684685587883,16,-0.0,15.8999996185
2022/01/11/19:04:49.776006,56083,1641924289,775612622,ti_mmwave,0,0.093761831522,-0.0,0.0,0.093761831522,0.0,16,-0.0,52.4000015259
2022/01/11/19:04:49.776035,56084,1641924289,775660144,ti_mmwave,1,0.843856453896,-0.0,0.0,0.843856453896,0.0,16,-0.0,52.4000015259
2022/01/11/19:04:49.776285,56085,1641924289,775672058,ti_mmwave,2,1.0782610178,-0.0,0.0,1.0782610178,0.0,16,-0.0,52.4000015259
2022/01/11/19:04:49.776314,56086,1641924289,775681438,ti_mmwave,3,0.89073741436,-0.0,0.0,0.89073741436,-0.456457048655,16,-0.0,52.4000015259
2022/01/11/19:04:49.835783,56087,1641924289,835473316,ti_mmwave,0,0.093761831522,-0.0,0.0,0.093761831522,0.0,16,-0.0,44.4000015259
2022/01/11/19:04:49.835912,56088,1641924289,835522020,ti_mmwave,1,0.843856453896,-0.0,0.0,0.843856453896,0.0,16,-0.0,44.4000015259
2022/01/11/19:04:49.836528,56089,1641924289,835532138,ti_mmwave,2,1.0782610178,-0.0,0.0,1.0782610178,0.0,16,-0.0,44.4000015259
2022/01/11/19:04:49.836652,56090,1641924289,835542453,ti_mmwave,3,0.89073741436,-0.0,0.0,0.89073741436,-0.456457048655,16,-0.0,44.4000015259
2022/01/11/19:04:49.837656,56091,1641924289,837089736,ti_mmwave,0,0.093761831522,-0.0,0.0,0.093761831522,0.0,16,-0.0,47.5
2022/01/11/19:04:49.837679,56092,1641924289,837131666,ti_mmwave,1,0.843856453896,-0.0,0.0,0.843856453896,0.0,16,-0.0,47.5
