time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.name,.position,.velocity,.effort
2021/11/02/17:39:07.432011,111300,1635871147,428060054,,['base_to_pipe_y'],"(0.03699370695219741,)","(0.0,)",()
2021/11/02/17:39:07.463596,111302,1635871147,463155984,,['base_to_pipe_y'],"(0.0371888327793008,)","(0.0,)",()
2021/11/02/17:39:07.481812,111304,1635871147,481334924,,['base_to_pipe_y'],"(0.037375089010809416,)","(0.0,)",()
2021/11/02/17:39:07.511850,111305,1635871147,510714054,,['base_to_pipe_x'],"(0.042581628598906386,)","(0.0,)",()
2021/11/02/17:39:07.511873,111306,1635871147,511305093,,['base_to_pipe_y'],"(0.0375236737650659,)","(0.0,)",()
2021/11/02/17:39:07.572147,111308,1635871147,568176984,,['base_to_pipe_y'],"(0.03765218962363515,)","(0.0,)",()
2021/11/02/17:39:07.575356,111310,1635871147,573726892,,['base_to_pipe_y'],"(0.03772914573966844,)","(0.0,)",()
2021/11/02/17:39:07.603562,111311,1635871147,601972103,,['base_to_pipe_x'],"(0.04260092430841831,)","(0.0,)",()
2021/11/02/17:39:07.607075,111312,1635871147,604331970,,['base_to_pipe_y'],"(0.037782671754771326,)","(0.0,)",()
2021/11/02/17:39:07.673872,111313,1635871147,671243906,,['base_to_pipe_x'],"(0.04259648419747524,)","(0.0,)",()
2021/11/02/17:39:07.677071,111314,1635871147,673078060,,['base_to_pipe_y'],"(0.03775045224683347,)","(0.0,)",()
2021/11/02/17:39:07.678358,111315,1635871147,676862955,,['base_to_pipe_x'],"(0.04262842614303207,)","(0.0,)",()
2021/11/02/17:39:07.680379,111316,1635871147,678744077,,['base_to_pipe_y'],"(0.037690260129737675,)","(0.0,)",()
2021/11/02/17:39:07.692216,111317,1635871147,691066026,,['base_to_pipe_x'],"(0.04262790573394509,)","(0.0,)",()
2021/11/02/17:39:07.693709,111318,1635871147,692614078,,['base_to_pipe_y'],"(0.0376289207451336,)","(0.0,)",()
2021/11/02/17:39:07.722305,111319,1635871147,720163106,,['base_to_pipe_x'],"(0.04265316145613073,)","(0.0,)",()
2021/11/02/17:39:07.723081,111320,1635871147,721990108,,['base_to_pipe_y'],"(0.03754219877333146,)","(0.0,)",()
2021/11/02/17:39:07.777346,111321,1635871147,776741027,,['base_to_pipe_x'],"(0.04268029067541885,)","(0.0,)",()
2021/11/02/17:39:07.778541,111322,1635871147,777479887,,['base_to_pipe_y'],"(0.03743443961383709,)","(0.0,)",()
2021/11/02/17:39:07.783314,111323,1635871147,781205892,,['base_to_pipe_x'],"(0.042641776414079874,)","(0.0,)",()
2021/11/02/17:39:07.783344,111324,1635871147,782053947,,['base_to_pipe_y'],"(0.03727500923370589,)","(0.0,)",()
2021/11/02/17:39:07.810769,111325,1635871147,809497117,,['base_to_pipe_x'],"(0.04264675422728856,)","(0.0,)",()
2021/11/02/17:39:07.811344,111326,1635871147,810235023,,['base_to_pipe_y'],"(0.03709489452026559,)","(0.0,)",()
2021/11/02/17:39:07.840268,111327,1635871147,839579105,,['base_to_pipe_x'],"(0.04267157694045536,)","(0.0,)",()
2021/11/02/17:39:07.841234,111328,1635871147,840426921,,['base_to_pipe_y'],"(0.036896726408422245,)","(0.0,)",()
2021/11/02/17:39:07.883122,111329,1635871147,881520986,,['base_to_pipe_x'],"(0.04269704085074859,)","(0.0,)",()
2021/11/02/17:39:07.883493,111330,1635871147,882349967,,['base_to_pipe_y'],"(0.03666006921029771,)","(0.0,)",()
2021/11/02/17:39:07.899504,111331,1635871147,898458003,,['base_to_pipe_x'],"(0.042694136010666905,)","(0.0,)",()
2021/11/02/17:39:07.900009,111332,1635871147,899197101,,['base_to_pipe_y'],"(0.03634494802927036,)","(0.0,)",()
2021/11/02/17:39:07.929426,111333,1635871147,928837060,,['base_to_pipe_x'],"(0.04271353760033845,)","(0.0,)",()
