time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:23:55.367227,11848,1646846635,366926439,imu_iphone,0.00172146767186,0.0201097507073,-0.910393394575,0.413251136223,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.000419202260673,0.000706969760358,-0.00188652332872,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0103867746145,-0.0263946969062,-0.128042913079,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.415107,11849,1646846635,414536097,imu_iphone,0.0017074431675,0.0200968460213,-0.910400268278,0.413236679081,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00141189992428,-0.000186999328434,0.000240697991103,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.00338747475296,-0.0222646440379,-0.114559818506,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.425040,11850,1646846635,424533128,imu_iphone,0.00170235817541,0.0200964476675,-0.910399706301,0.41323795752,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00171432318166,0.00114548485726,0.000499338377267,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00121899828315,-0.0177178491466,-0.108870477676,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.455736,11851,1646846635,454830562,imu_iphone,0.00169895685803,0.0200964443828,-0.910399188027,0.413239113479,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000763669610023,0.000271720811725,0.000704523641616,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00972399272025,-0.0215204213932,-0.123539972305,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.488191,11852,1646846635,485854194,imu_iphone,0.00169645789279,0.0200991884583,-0.910399267938,0.413238814238,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00210983585566,-0.00167339108884,4.80795279145e-05,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00246960807592,-0.0176510081626,-0.114560403228,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.520436,11853,1646846635,516816105,imu_iphone,0.00168167342119,0.0201031844388,-0.910396040182,0.413245791233,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00363940838724,-0.00018554367125,-0.000706959981471,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0068511460349,-0.0286576607265,-0.124891263843,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.544362,11854,1646846635,543790783,imu_iphone,0.0016714974846,0.0200895036233,-0.910392015278,0.413255364707,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000498733017594,-0.000549671240151,-0.000162634067237,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.000250772461295,-0.0371795755439,-0.109162838459,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.575898,11855,1646846635,573859152,imu_iphone,0.00166030176965,0.0200788448801,-0.910389844172,0.413260710709,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00132710812613,-8.96146520972e-05,0.00111754098907,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.00748487457633,-0.0367154893465,-0.118733561039,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.605766,11856,1646846635,605240698,imu_iphone,0.00166660370489,0.0200803248669,-0.910392539009,0.413254676807,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",5.59538602829e-06,0.00200586393476,0.00131533760577,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.000126701854169,-0.0298572170176,-0.129812280536,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.634737,11857,1646846635,633244103,imu_iphone,0.00168320960434,0.0200825719999,-0.910395555165,0.413247855702,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000553940422833,-0.00107649713755,-0.000730571802706,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.00287770718336,-0.0388256763853,-0.12487547636,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
2022/03/09/18:23:55.663509,11858,1646846635,663076157,imu_iphone,0.00168181976454,0.0200933153676,-0.910400301487,0.413236882687,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-1.00517645478e-05,-0.000921289436519,0.000936072785407,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.000239004939795,-0.0284390479513,-0.118147670031,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)"
