time,.header.seq,.header.stamp.secs,secs,,.header.frame_id,.header.stamp.nsecs,.orientation.x,.orientation.y,.orientation.z,.orientation.w,.orientation_covariance,.angular_velocity.x,.angular_velocity.y,.angular_velocity.z,.angular_velocity_covariance,.linear_acceleration.x,.linear_acceleration.y,.linear_acceleration.z,.linear_acceleration_covariance
2022/03/09/18:22:16.269977,8567,1646846536,0.268932178,1646846536.26893,0.00288435735084,0.0203185894041,-0.911405063953,0.410998351344,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000797258224338,-0.00114612001926,0.000667270738631,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00765411492437,-0.00851303435862,-0.110650370121,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.299087,8568,1646846536,0.298762016,1646846536.29876,0.00288881697074,0.0203207628909,-0.911412830912,0.410980988589,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.000476176850498,-0.000111698172987,-0.00113903312013,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",0.0011845362559,-0.0106675688736,-0.114244653583,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.328835,8569,1646846536,0.328371331,1646846536.32837,0.00288904188713,0.0203125357362,-0.911408180439,0.410991706677,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.00336042745039,0.00251430366188,0.00058877049014,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00211029667407,-0.00698365855962,-0.115585420132,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.359268,8570,1646846536,0.358918559,1646846536.35892,0.00290438802914,0.0203102190477,-0.911405461426,0.410997742592,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.000551606528461,-0.00111936964095,8.59145075083E-05,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.013952662535,-0.00507911078632,-0.118728883266,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.388529,8571,1646846536,0.388102532,1646846536.3881,0.00290345856877,0.0203130486667,-0.911405373524,0.410997804244,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.000952590256929,-0.00248913047835,0.00300721102394,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0143436950818,-0.00731822893023,-0.124120016098,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.418630,8572,1646846536,0.418250696,1646846536.41825,0.00290263849613,0.0202982999151,-0.911405248343,0.410998816303,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",-0.00166147574782,0.00131577532738,-0.000958968419582,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00666739728302,-0.000266377218068,-0.122312057018,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.447597,8573,1646846536,0.447174636,1646846536.44717,0.0029119631752,0.0202743066528,-0.911409406519,0.410990713605,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000300430692732,-0.000435571186244,-0.00188381737098,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00806765925139,-0.0122711860389,-0.109121323228,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.479860,8574,1646846536,0.479524114,1646846536.47952,0.00291272748388,0.0202790323351,-0.911406002599,0.410998023465,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",8.11461359262E-05,-0.00248565711081,0.00112101109698,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.0120326927304,-0.0114682536945,-0.117357711196,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.509369,8575,1646846536,0.508821971,1646846536.50882,0.00292201103181,0.0202748416276,-0.911404466796,0.411001570014,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.0013188906014,-0.00278547313064,-0.00107985455543,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00739321947098,-0.00774217033759,-0.113762843013,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
2022/03/09/18:22:16.538742,8576,1646846536,0.537122247,1646846536.53712,0.00293714416078,0.0202879776948,-0.911403088884,0.411003869469,"(0.00872665, 0.0, 0.0, 0.0, 0.00872665, 0.0, 0.0, 0.0, 0.00872665)",0.000735341571271,-0.00158484373242,-0.00336306868121,"(0.000872665, 0.0, 0.0, 0.0, 0.000872665, 0.0, 0.0, 0.0, 0.000872665)",-0.00443697687238,-0.015148619134,-0.1169185853,"(0.003, 0.0, 0.0, 0.0, 0.003, 0.0, 0.0, 0.0, 0.003)",,
